 ,Area,Mean
1,975.672,182.566
2,693.825,135.612
3,1060.598,107.591
4,260.173,108.221
5,330.945,110.789
6,557.236,127.473
7,260.173,147.322
8,255.485,93.652
9,577.760,119.397
10,315.198,79.452
