 ,Mean,Angle,Length
1,176.709,43.781,29.661
2,130.012,51.843,31.773
3,96.547,91.364,37.487
4,118.608,103.496,22.941
5,117.678,58.570,18.823
6,109.981,109.799,23.709
7,148.009,99.090,22.591
8,130.444,95.440,18.823
9,118.051,122.276,20.052
10,87.141,38.660,17.140
