lake.name	date	Year	sum_mg_ww_L
Cascade	2003-08-07	2003	0.73083968
Cascade	2004-07-21	2004	0.584747341
Cascade	2004-08-04	2004	0.592861275
Cascade	2005-07-13	2005	0.673414335
Cascade	2005-08-10	2005	1.41814656
Cascade	2006-07-14	2006	3.227954085
Cascade	2006-08-10	2006	1.254793545
Cascade	2007-07-12	2007	1.177220133
Cascade	2007-08-01	2007	0.253793463
Cascade	2008-07-01	2008	1.378235475
Cascade	2008-08-05	2008	0.857971864
Cascade	2010-07-13	2010	0.275217274
Cascade	2010-08-11	2010	0.322248043
Cascade	2011-07-11	2011	0.265394318
Cascade	2011-08-09	2011	0.438414458
Cascade	2012-07-10	2012	0.01080433
Cascade	2012-08-07	2012	0.365089475
Constable	1994-06-20	1994	0.671536058
Constable	1994-07-24	1994	0.585255088
Constable	1994-08-23	1994	0.679626349
Constable	1995-06-13	1995	1.061480919
Constable	1995-08-15	1995	0.586593263
Constable	1995-09-06	1995	0.407043751
Constable	1996-06-18	1996	0.324817223
Constable	1996-07-18	1996	0.454778561
Constable	1996-08-15	1996	0.660339051
Constable	1997-07-10	1997	0.461444104
Constable	1997-08-12	1997	0.640586762
Constable	1998-07-08	1998	0.319772521
Constable	1998-08-11	1998	0.255297829
Constable	1999-07-07	1999	0.985874357
Constable	1999-08-17	1999	0.7913732
Constable	2000-07-12	2000	0.887883923
Constable	2000-08-15	2000	0.93786492
Constable	2001-07-10	2001	0.719936939
Constable	2001-09-06	2001	0.715796775
Constable	2002-09-12	2002	0.674486374
Constable	2002-09-24	2002	0.198501075
Constable	2003-07-10	2003	0.19921385
Constable	2003-08-07	2003	0.62760505
Constable	2004-07-21	2004	0.748906976
Constable	2004-08-04	2004	0.303666169
Constable	2005-07-13	2005	0.42406505
Constable	2005-08-10	2005	0.159653859
Constable	2006-07-14	2006	1.417345695
Constable	2006-08-10	2006	1.13739015
Dart	1994-06-28	1994	0.483936984
Dart	1994-07-25	1994	0.371488933
Dart	1994-08-24	1994	0.340208289
Dart	1995-06-20	1995	0.307036572
Dart	1995-08-09	1995	0.382824278
Dart	1995-09-13	1995	0.1802069
Dart	1996-06-26	1996	0.322273748
Dart	1996-07-22	1996	0.154621454
Dart	1996-08-20	1996	0.151574198
Dart	1997-07-09	1997	0.698147427
Dart	1997-08-19	1997	0.621483908
Dart	1998-07-13	1998	0.132545833
Dart	1998-08-17	1998	0.149525675
Dart	1999-06-30	1999	0.403252223
Dart	1999-08-24	1999	1.14430329
Dart	2000-07-13	2000	0.19363051
Dart	2000-08-22	2000	0.198737048
Dart	2001-08-08	2001	0.205169565
Dart	2001-09-08	2001	0.172758185
Dart	2002-08-13	2002	0.214879514
Dart	2002-09-10	2002	0.236254917
Dart	2003-07-16	2003	0.270341706
Dart	2003-09-05	2003	0.332384409
Dart	2004-07-06	2004	0.184977575
Dart	2004-08-11	2004	0.287048443
Dart	2005-07-19	2005	0.217679393
Dart	2005-08-16	2005	0.20961101
Dart	2006-07-17	2006	0.044121084
Dart	2006-08-15	2006	0.178345216
Dart	2007-07-13	2007	0.126964123
Dart	2007-07-31	2007	0.262040408
Dart	2008-06-30	2008	0.236236888
Dart	2008-08-06	2008	0.059092483
Dart	2010-07-07	2010	0.021096556
Dart	2010-08-12	2010	0.09431289
Dart	2011-07-14	2011	0.130427332
Dart	2011-08-09	2011	0.168622324
Dart	2012-07-10	2012	0.240540499
Dart	2012-08-07	2012	0.036804476
G	1994-06-21	1994	0.132583795
G	1994-07-26	1994	1.288164102
G	1994-08-22	1994	0.552647861
G	1995-06-12	1995	0.071636267
G	1995-08-14	1995	0.725550466
G	1995-09-05	1995	0.184520004
G	1996-07-17	1996	0.236705572
G	1997-07-07	1997	0.556363129
G	1997-08-11	1997	0.576774787
G	1998-07-07	1998	0.468016395
G	1998-08-13	1998	0.488100351
G	1999-07-06	1999	1.305988669
G	1999-08-16	1999	1.111350766
G	2000-07-11	2000	0.939388129
G	2000-08-14	2000	2.03566423
G	2001-07-09	2001	0.712848526
G	2001-09-05	2001	0.29355779
G	2002-08-28	2002	0.11877621
G	2002-09-20	2002	0.249059925
G	2003-07-08	2003	0.834560428
G	2003-08-05	2003	0.248257035
G	2004-07-12	2004	0.556161811
G	2004-08-02	2004	0.821589888
G	2005-07-11	2005	1.370430858
G	2005-08-08	2005	0.896837292
G	2006-07-11	2006	1.026397789
G	2006-08-08	2006	0.248757775
G	2007-07-13	2007	0.413334635
G	2007-08-02	2007	0.55941471
G	2008-08-07	2008	0.585100551
G	2010-07-20	2010	0.224188489
G	2010-08-17	2010	0.381429056
G	2011-07-12	2011	0.415986553
G	2011-08-08	2011	1.036468735
G	2012-07-09	2012	0.288227119
G	2012-08-06	2012	0.535344715
Grass	1994-06-20	1994	1.103415037
