"lake.name","Year","avg","stdev"
"Indian",1996,0.893333333333333,0.168027775481714
"Indian",1997,1.07,0.0282842712474619
"Indian",1998,0.28,0.127279220613579
"Indian",1999,1.38,0.381837661840736
"Indian",2000,0.805,0.487903679018718
"Indian",2001,0.79,0.0989949493661167
"Indian",2002,0.525,0.134350288425444
"Indian",2003,0.965,0.21920310216783
"Indian",2004,0.65,0.0707106781186547
"Indian",2005,0.54,0.226274169979695
"Indian",2006,0.64,0.113137084989848
"Indian",2007,0.5,0.226274169979695
"Indian",2008,0.355,0.0494974746830583
"Indian",2010,1.58,1.47078210486802
"Indian",2011,0.91,0.268700576850888
"Indian",2012,1.34,0.113137084989848
"Jockeybush",1994,0.82,0.260576284415908
"Jockeybush",1995,0.503333333333333,0.344286702231343
"Jockeybush",1996,0.73,0.09
"Jockeybush",1997,0.505,0.0494974746830584
"Jockeybush",1998,0.475,0.0777817459305203
"Jockeybush",1999,1.015,0.148492424049175
"Jockeybush",2000,1.415,0.00707106781186548
"Jockeybush",2001,0.56,0.197989898732233
"Jockeybush",2002,0.605,0.0212132034355964
"Jockeybush",2003,1.075,0.332340187157677
"Jockeybush",2004,0.375,0.0636396103067893
"Jockeybush",2005,0.72,NA
"Jockeybush",2006,0.495,0.0777817459305203
"Jockeybush",2007,0.42,0.15556349186104
"Jockeybush",2008,0.93,NA
"Jockeybush",2010,0.3,NA
"Jockeybush",2011,0.745,0.261629509039023
"Jockeybush",2012,0.345,0.247487373415292
"Limekiln",1994,1.03666666666667,0.0351188458428425
"Limekiln",1995,0.916666666666667,0.235442845152137
"Limekiln",1996,0.43,0.062449979983984
"Limekiln",1997,0.585,0.0353553390593273
"Limekiln",1998,0.79,0.0565685424949238
"Limekiln",1999,0.465,0.176776695296637
"Limekiln",2000,0.99,0.834386001800126
"Limekiln",2001,0.27,0.197989898732233
"Limekiln",2002,0.155,0.0212132034355964
"Limekiln",2003,0.38,0.183847763108502
"Limekiln",2004,0.8,0.0848528137423857
"Limekiln",2005,0.275,0.0494974746830583
"Limekiln",2006,0.31,0.183847763108502
"Limekiln",2007,0.205,0.00707106781186546
"Limekiln",2008,0.38,0.0989949493661167
"Limekiln",2010,0.125,0.00707106781186548
"Limekiln",2011,0.17,0.0848528137423857
"Limekiln",2012,0.265,0.0212132034355964
"Long",1994,0.386666666666667,0.478156180900481
"Long",1995,1.56333333333333,0.403773864103824
"Long",1996,0.12,0.0793725393319377
"Long",1997,1.98,2.7435743110038
"Long",1998,0.18,0.197989898732233
"Long",1999,0.33,0.113137084989848
"Long",2000,0.565,0.346482322781408
"Long",2001,0.485,0.586898628384834
"Long",2002,1.015,0.742462120245875
"Long",2003,0.13,0.0282842712474619
"Long",2004,0.185,0.00707106781186548
"Long",2005,0.06,0.0565685424949238
"Long",2006,0.055,0.0212132034355964
"Loon Hollow",1994,0.07,0.07
"Loon Hollow",1995,0.0966666666666667,0.0960902353693305
"Loon Hollow",1996,0.163333333333333,0.188237438713273
"Loon Hollow",1997,0.22,0.0282842712474619
"Loon Hollow",1998,0.035,0.00707106781186548
"Loon Hollow",1999,0.205,0.0494974746830583
"Loon Hollow",2000,0.09,0.0565685424949238
"Loon Hollow",2001,0.115,0.0919238815542512
"Loon Hollow",2002,0.06,0.0565685424949238
"Loon Hollow",2003,0.025,0.00707106781186547
"Loon Hollow",2004,0.035,0.0212132034355964
