 ,Area,Mean
1,67.772,231.936
2,84.300,229.014
3,48.996,228.838
4,51.259,204.549
5,61.109,187.973
6,127.478,216.083
7,110.934,214.797
8,93.800,226.010
9,75.167,227.936
10,55.786,229.973
